Campaign Member ID,Contact ID,Campaign Name,Last Touch Channel,Campaign Response Date,Interaction Status,Account Type,Account Tier,Region,Meeting Booked,Meeting Booked Date,Opportunity ID,Timestamp Date Qualified,Pipeline Revenue Share,Opportunity Stage,Closed Won CARR,AE Owner
CM-12151,CON-52151,[Paid Search],Paid Search,2026-03-31,-,Prospect,Tier 2,Southeast,No,,,,,,,Rachel Torres
CM-11863,CON-51863,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-12,Attended,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12068,CON-52068,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-02-27,Clicked,Prospect,Tier 2,Midwest,No,,,,,,,David Kim
CM-10388,CON-50388,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-07,Attended,Prospect,Enterprise,Southwest,Yes,2026-02-26,OPP-80087,2026-03-16,133200.0,Closed Lost,,Rachel Torres
CM-10009,CON-50009,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-21,Attended,Prospect,Tier 1,Southeast,Yes,2026-03-02,,,,,,James O'Brien
CM-10649,CON-50649,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Prospect,Tier 1,West,No,,,,,,,Rachel Torres
CM-10658,CON-50658,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,-,Customer,Tier 2,Southwest,No,,,,,,,David Kim
CM-12002,CON-52002,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-03,Opened,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-11736,CON-51736,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-04,Visited Booth,Prospect,Tier 2,West,No,,,,,,,David Kim
CM-11143,CON-51143,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-05,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-11072,CON-51072,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-08,-,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-12200,CON-52200,[Paid Search],Paid Search,2026-03-31,-,Customer,Tier 2,Midwest,No,,,,,,,David Kim
CM-11242,CON-51242,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-21,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-10845,CON-50845,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-10943,CON-50943,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-11737,CON-51737,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-03,Visited Booth,Customer,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10040,CON-50040,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-09,Attended,Churned,Enterprise,West,No,,,,,,,James O'Brien
CM-11999,CON-51999,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-03,Opened,Prospect,Tier 2,Southwest,No,,,,,,,David Kim
CM-11761,CON-51761,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-19,Registered,Customer,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-11260,CON-51260,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-24,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-10435,CON-50435,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-04,Attended,Prospect,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-10201,CON-50201,CY26 Q1 - Hosted - Buffalo Sabres - 2026-02-05,Hosted Events,2026-02-06,Registered,Prospect,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-11663,CON-51663,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-10,Visited Booth,Prospect,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-11528,CON-51528,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-19,Attended,Churned,Tier 1,West,No,,,,,,,Rachel Torres
CM-11030,CON-51030,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-08,-,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-10424,CON-50424,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-08,Attended,Customer,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-11759,CON-51759,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-19,No Show,Prospect,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-12358,CON-52358,[Organic Search],Organic Search,2026-02-03,-,Prospect,Tier 1,Southeast,No,,,,,,,James O'Brien
CM-12178,CON-52178,[Paid Search],Paid Search,2026-01-15,-,Customer,Tier 2,Northeast,Yes,2026-01-19,OPP-80213,2026-02-18,8700.0,Negotiation,,David Kim
CM-11547,CON-51547,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-22,Visited Booth,Churned,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-11057,CON-51057,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,Sarah Mitchell
CM-11124,CON-51124,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Enterprise,West,No,,,,,,,Sarah Mitchell
CM-11183,CON-51183,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Prospect,Tier 2,Northeast,Yes,2026-03-13,OPP-80151,2026-03-31,51900.0,Closed Won,51900.0,David Kim
CM-10847,CON-50847,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-11184,CON-51184,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-10938,CON-50938,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-25,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-11615,CON-51615,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-12,Visited Booth,Prospect,Enterprise,Midwest,No,,,,,,,David Kim
CM-10741,CON-50741,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-05,Gift Delivered,Prospect,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-10265,CON-50265,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-14,Registered,Customer,Enterprise,Midwest,Yes,2026-02-03,,,,,,Sarah Mitchell
CM-11397,CON-51397,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-30,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-12299,CON-52299,[Paid Social],Paid Social,2026-02-17,-,Customer,Enterprise,West,No,,,,,,,David Kim
CM-12078,CON-52078,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-03-03,-,Prospect,Tier 2,West,No,,,,,,,David Kim
CM-11433,CON-51433,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-27,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-11006,CON-51006,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-07,Gift Delivered,Customer,Tier 2,West,No,,,,,,,James O'Brien
CM-10520,CON-50520,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-03-04,Attended,Prospect,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-11862,CON-51862,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-17,No Show,Customer,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-11415,CON-51415,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-28,-,Customer,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-11340,CON-51340,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Prospect,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-11792,CON-51792,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-15,Registered,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-12222,CON-52222,[Paid Search],Paid Search,2026-01-31,-,Prospect,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10870,CON-50870,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Customer,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-12218,CON-52218,[Paid Search],Paid Search,2026-02-18,-,Prospect,Enterprise,Southwest,Yes,2026-03-06,OPP-80216,2026-03-31,74900.0,Discovery,,Rachel Torres
CM-10284,CON-50284,CY26 Q1 - Hosted - Chicago Blackhawks - 2026-02-09,Hosted Events,2026-02-12,No Show,Churned,Enterprise,Southwest,No,,,,,,,David Kim
CM-10131,CON-50131,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-15,Attended,Customer,Tier 2,West,No,,,,,,,James O'Brien
CM-10262,CON-50262,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-09,Attended,Customer,Tier 1,West,No,,,,,,,David Kim
CM-11070,CON-51070,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-05,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-10810,CON-50810,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Churned,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-12479,CON-52479,[Direct Traffic],Direct Traffic,2026-02-28,-,Prospect,Tier 2,Midwest,No,,,,,,,Marcus Webb
CM-12460,CON-52460,[Organic Social],Organic Social,2026-02-04,-,Churned,Tier 1,Midwest,No,,,,,,,David Kim
CM-12290,CON-52290,[Paid Search],Paid Search,2026-01-12,-,Prospect,Tier 2,Southeast,No,,,,,,,Rachel Torres
CM-11140,CON-51140,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Prospect,Tier 2,West,Yes,2026-03-02,OPP-80149,2026-03-19,13500.0,Discovery,,Marcus Webb
CM-10647,CON-50647,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-10650,CON-50650,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,-,Prospect,Tier 2,West,Yes,2026-01-26,,,,,,David Kim
CM-11449,CON-51449,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-02-03,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,Rachel Torres
CM-12132,CON-52132,[Paid Search],Paid Search,2026-01-31,-,Customer,Enterprise,Southeast,No,,,,,,,David Kim
CM-10030,CON-50030,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-25,Attended,Customer,Tier 1,Southeast,Yes,2026-03-04,OPP-80007,2026-03-12,151300.0,Closed Won,151300.0,Rachel Torres
CM-11744,CON-51744,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-08,Attended,Prospect,Tier 2,West,Yes,2026-03-30,,,,,,James O'Brien
CM-11000,CON-51000,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-11210,CON-51210,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,David Kim
CM-11628,CON-51628,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-15,Registered,Prospect,Tier 2,Midwest,No,,,,,,,David Kim
CM-11275,CON-51275,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Churned,Enterprise,Midwest,No,,,,,,,Marcus Webb
CM-10251,CON-50251,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-10,Registered,Prospect,Enterprise,West,No,,,,,,,Marcus Webb
CM-11845,CON-51845,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-11,Registered,Churned,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-10983,CON-50983,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-06,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,Marcus Webb
CM-10018,CON-50018,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-22,Registered,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-10001,CON-50001,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-20,Attended,Prospect,Tier 1,Southeast,Yes,2026-03-05,OPP-80001,2026-03-30,36800.0,Closed Lost,,Sarah Mitchell
CM-11818,CON-51818,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-16,Registered,Prospect,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-11749,CON-51749,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-10,Attended,Prospect,Tier 2,Southwest,Yes,2026-03-27,OPP-80196,2026-03-31,66000.0,Discovery,,Rachel Torres
CM-11281,CON-51281,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,James O'Brien
CM-10115,CON-50115,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-14,Attended,Prospect,Enterprise,West,No,,,,,,,Marcus Webb
CM-10341,CON-50341,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-27,Registered,Prospect,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-10494,CON-50494,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-25,Attended,Churned,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-10092,CON-50092,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-18,Registered,Prospect,Tier 1,Southwest,Yes,2026-03-23,OPP-80021,2026-03-31,257100.0,Closed Lost,,Sarah Mitchell
CM-10642,CON-50642,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Prospect,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-12390,CON-52390,[Organic Search],Organic Search,2026-01-25,-,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-10879,CON-50879,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Churned,Tier 1,Southeast,No,,,,,,,Rachel Torres
CM-11525,CON-51525,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-25,Visited Booth,Customer,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12409,CON-52409,[Organic Search],Organic Search,2026-02-03,-,Customer,Tier 2,West,No,,,,,,,Rachel Torres
CM-11044,CON-51044,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,-,Customer,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-12252,CON-52252,[Paid Search],Paid Search,2026-02-27,-,Prospect,Enterprise,Northeast,No,,,,,,,Rachel Torres
CM-10220,CON-50220,CY26 Q1 - Hosted - Cabot Citrus Golf - 2026-02-08,Hosted Events,2026-02-13,Attended,Prospect,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-10788,CON-50788,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-06,Gift Delivered,Prospect,Enterprise,West,No,,,,,,,David Kim
CM-11720,CON-51720,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-10,Attended,Customer,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-11488,CON-51488,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-20,Visited Booth,Prospect,Tier 1,Southeast,No,,,,,,,David Kim
CM-11693,CON-51693,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-03,Badge Scan,Customer,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-12217,CON-52217,[Paid Search],Paid Search,2026-03-07,-,Prospect,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-11840,CON-51840,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-16,No Show,Prospect,Enterprise,West,No,,,,,,,Rachel Torres
CM-12164,CON-52164,[Paid Search],Paid Search,2026-01-10,-,Churned,Tier 2,West,No,,,,,,,David Kim
CM-10561,CON-50561,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-25,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-11176,CON-51176,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12261,CON-52261,[Paid Search],Paid Search,2026-01-08,-,Prospect,Tier 1,Northeast,No,,,,,,,Marcus Webb
CM-10945,CON-50945,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-19,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,David Kim
CM-11767,CON-51767,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-17,Registered,Customer,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10392,CON-50392,CY26 Q1 - Hosted - Enterprise Ski Summit - 2026-03-01,Hosted Events,2026-03-04,No Show,Prospect,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-10552,CON-50552,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-23,Gift Delivered,Customer,Tier 1,Northeast,Yes,2026-02-04,,,,,,James O'Brien
CM-11549,CON-51549,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-25,Badge Scan,Prospect,Tier 1,Southeast,No,,,,,,,David Kim
CM-12199,CON-52199,[Paid Search],Paid Search,2026-02-04,-,Customer,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12063,CON-52063,CY26 Q1 - Email - Anthem Injury Lawyers ROI,Email Marketing,2026-02-18,Opened,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-11958,CON-51958,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-08,Opened,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-12327,CON-52327,[Paid Social],Paid Social,2026-02-27,-,Prospect,Tier 1,West,No,,,,,,,David Kim
CM-11982,CON-51982,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-07,Clicked,Prospect,Enterprise,Northeast,No,,,,,,,James O'Brien
CM-10811,CON-50811,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-10,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-10941,CON-50941,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-10963,CON-50963,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-25,-,Churned,Tier 2,Southwest,Yes,2026-03-05,,,,,,Marcus Webb
CM-11922,CON-51922,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-08,Registered,Prospect,Enterprise,Northeast,No,,,,,,,David Kim
CM-10939,CON-50939,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-11944,CON-51944,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-10,Registered,Customer,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-12450,CON-52450,[Organic Search],Organic Search,2026-02-04,-,Prospect,Enterprise,Southwest,No,,,,,,,Sarah Mitchell
CM-11545,CON-51545,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-24,Badge Scan,Prospect,Enterprise,Southwest,Yes,2026-02-09,OPP-80171,2026-03-03,130700.0,Closed Won,130700.0,David Kim
CM-11167,CON-51167,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-10665,CON-50665,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,-,Prospect,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-11990,CON-51990,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-12,Opened,Churned,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-10909,CON-50909,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-25,-,Prospect,Enterprise,Northeast,No,,,,,,,David Kim
CM-10418,CON-50418,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-08,Attended,Customer,Enterprise,Southeast,No,,,,,,,James O'Brien
CM-11037,CON-51037,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,Rachel Torres
CM-10689,CON-50689,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,-,Prospect,Tier 1,Southeast,No,,,,,,,James O'Brien
CM-11509,CON-51509,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-25,Visited Booth,Prospect,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-10531,CON-50531,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-03-04,Attended,Customer,Enterprise,Northeast,No,,,,,,,James O'Brien
CM-12371,CON-52371,[Organic Search],Organic Search,2026-01-15,-,Prospect,Enterprise,Northeast,Yes,2026-01-27,OPP-80231,2026-02-19,96600.0,Negotiation,,Rachel Torres
CM-10363,CON-50363,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-31,Registered,Prospect,Tier 1,West,No,,,,,,,Rachel Torres
CM-10119,CON-50119,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-08,Attended,Customer,Enterprise,Southeast,No,,,,,,,Rachel Torres
CM-10819,CON-50819,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-10855,CON-50855,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-11711,CON-51711,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-04,Visited Booth,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-12271,CON-52271,[Paid Search],Paid Search,2026-02-23,-,Prospect,Tier 1,Southeast,Yes,2026-02-24,OPP-80224,2026-03-19,101500.0,Discovery,,David Kim
CM-11115,CON-51115,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,Rachel Torres
CM-11754,CON-51754,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-14,Attended,Prospect,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-10925,CON-50925,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-20,-,Prospect,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-12004,CON-52004,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-05,-,Prospect,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-10360,CON-50360,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-27,Attended,Churned,Tier 2,Midwest,No,,,,,,,David Kim
CM-10465,CON-50465,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-01-31,No Show,Prospect,Tier 1,Midwest,No,,,,,,,David Kim
CM-10775,CON-50775,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,Gift Delivered,Customer,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-10398,CON-50398,CY26 Q1 - Hosted - Enterprise Ski Summit - 2026-03-01,Hosted Events,2026-03-05,Attended,Prospect,Tier 1,Southeast,Yes,2026-03-23,OPP-80090,2026-03-31,207300.0,Negotiation,,James O'Brien
CM-12282,CON-52282,[Paid Search],Paid Search,2026-01-13,-,Prospect,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10621,CON-50621,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-25,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,Sarah Mitchell
CM-11155,CON-51155,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-09,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-10055,CON-50055,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-14,Attended,Customer,Enterprise,Southeast,No,,,,,,,Sarah Mitchell
CM-11056,CON-51056,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,James O'Brien
CM-11178,CON-51178,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-24,Gift Delivered,Churned,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-10017,CON-50017,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-22,Registered,Prospect,Tier 1,Northeast,No,,,,,,,James O'Brien
CM-10130,CON-50130,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-09,Attended,Customer,Tier 1,Southeast,No,,,,,,,James O'Brien
CM-12019,CON-52019,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-02,Opened,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-12100,CON-52100,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-02-27,Clicked,Customer,Tier 2,Southeast,No,,,,,,,Rachel Torres
